,HDifHor,HDirNor,HGloHor,HHorIR,TBlaSky,TDewPoi,TDryBul,TWetBul,ceiHei,cloTim,nOpa,nTot,relHum,solAlt,solDec,solHouAng,solTim,solZen,winDir,winSpe,lat,lon,pAtm
16426800.0,190.9708638909745,7.321796453162415,188.58100342423947,383.81415171165986,286.47230028126336,287.75082355656036,294.75374843649666,290.501383324192,1514.7260273972602,16426800.0,0.5064547938128856,0.5055671240879248,0.6564364408793515,0.5468433991533844,0.38984469579507225,1191.463356331603,16426997.328767123,1.0239529303491932,1.3747797249114677,5.140783218488301,0.7326892018318176,-1.5344934463500977,101325.0
16430400.0,213.2455899486803,6.748791881892235,211.27339942270217,388.52482207833907,287.34434530179794,288.35605750236334,294.99037637231555,290.9286189667166,1452.5114155251142,16430400.0,0.5572310495934529,0.5564347039142701,0.6724127854930756,0.6127535296119239,0.3897530587568675,1191.7251316575698,16430596.98630137,0.9580427979769772,1.4813397045004857,5.14955811086855,0.7326892018318176,-1.5344934463500977,101325.0
16434000.0,235.5203160063861,6.175787310622054,233.96579542116487,393.23549244501817,288.21639032233253,288.9612914481664,295.22700430813444,291.35585460924125,1390.296803652968,16434000.0,0.6080073053740203,0.6073022837406152,0.6883891301067997,0.6786636600704634,0.38966142171866275,1191.9869069835368,16434196.643835617,0.8921326656047612,1.5878996840895039,5.158333003248798,0.7326892018318176,-1.5344934463500977,101325.0
16437600.0,257.79504206409194,5.602782739351873,256.65819141962754,397.9461628116973,289.08843534286706,289.5665253939694,295.4636322439533,291.7830902517658,1328.082191780822,16437600.0,0.6587835611545876,0.6581698635669604,0.7043654747205238,0.7445737905290029,0.38956978468045794,1192.2486823095035,16437796.301369863,0.8262225332325451,1.694459663678522,5.167107895629047,0.7326892018318176,-1.5344934463500977,101325.0
16441200.0,280.0697681217978,5.029778168081693,279.35058741809024,402.6568331783765,289.96048036340164,290.1717593397724,295.7002601797722,292.21032589429046,1265.867579908676,16441200.0,0.7095598169351549,0.7090374433933055,0.7203418193342479,0.8104839209875423,0.3894781476422532,1192.5104576354702,16441395.95890411,0.7603124008603291,1.80101964326754,5.175882788009295,0.7326892018318176,-1.5344934463500977,101325.0
16444800.0,302.34449417950356,4.456773596811511,302.04298341655294,407.3675035450556,290.83252538393623,290.77699328557543,295.9368881155911,292.63756153681504,1203.6529680365297,16444800.0,0.7603360727157222,0.7599050232196508,0.736318163947972,0.8763940514460817,0.38938651060404844,1192.7722329614369,16444995.616438355,0.6944022684881132,1.9075796228565582,5.184657680389543,0.7326892018318176,-1.5344934463500977,101325.0
16448400.0,324.6192202372094,3.883769025541331,324.73537941501564,412.0781739117348,291.70457040447076,291.3822272313784,296.17351605141,293.0647971793397,1141.4383561643835,16448400.0,0.8111123284962896,0.810772603045996,0.7522945085616961,0.9423041819046213,0.38929487356584364,1193.0340082874036,16448595.273972603,0.6284921361158972,2.014139602445576,5.193432572769792,0.7326892018318176,-1.5344934463500977,101325.0
16452000.0,346.8939462949152,3.310764454271151,347.42777541347834,416.78884427841393,292.57661542500534,291.98746117718144,296.4101439872289,293.4920328218643,1079.2237442922374,16452000.0,0.8618885842768569,0.8616401828723411,0.7682708531754202,1.0082143123631608,0.3892032365276389,1193.2957836133705,16452194.93150685,0.5625820037436812,2.1206995820345944,5.202207465150041,0.7326892018318176,-1.5344934463500977,101325.0
16455600.0,369.168672352621,2.7377598830009706,370.12017141194104,421.4995146450931,293.44866044553993,292.5926951229844,296.64677192304777,293.9192684643889,1017.0091324200914,16455600.0,0.9126648400574242,0.9125077626986863,0.7842471977891443,1.0741244428217003,0.38911159948943413,1193.5575589393372,16455794.589041095,0.49667187137146507,2.2272595616236126,5.210982357530289,0.7326892018318176,-1.5344934463500977,101325.0
16459200.0,391.44339841032684,2.16475531173079,392.81256741040374,426.21018501177224,294.3207054660745,293.19792906878746,296.88339985886665,294.3465041069135,954.7945205479452,16459200.0,0.9634410958379915,0.9633753425250315,0.8002235424028684,1.1400345732802397,0.3890199624512294,1193.819334265304,16459394.246575342,0.4307617389992491,2.3338195412126304,5.219757249910537,0.7326892018318176,-1.5344934463500977,101325.0
16462800.0,402.7365630685467,1.7374913805423806,404.39158689594706,429.29123635488014,294.89518089816994,293.6259670867223,297.0017503712275,294.6339254161539,900.3157542328856,16462800.0,1.0,1.0,0.8141632046057209,1.1734690029327184,0.3889273104330176,1194.0811095912707,16462993.90410959,0.39732730892150914,2.4320446459670046,5.202005478345096,0.7326892018318176,-1.5344934463500977,101325.0
